Nome_Município,Nome_UF,Código Município Completo,Quantidade de Beneficiados,Valor
Alta Floresta D'Oeste,Rondônia,1100015,1403,232541.0
Alto Alegre dos Parecis,Rondônia,1100379,686,120971.0
Alto Paraíso,Rondônia,1100403,966,145255.0
Alvorada D'Oeste,Rondônia,1100346,1120,154464.0
Ariquemes,Rondônia,1100023,3276,518218.0
Buritis,Rondônia,1100452,1794,292162.0
Cabixi,Rondônia,1100031,168,25892.0
Cacaulândia,Rondônia,1100601,223,28489.0
Cacoal,Rondônia,1100049,2627,465018.0
Campo Novo de Rondônia,Rondônia,1100700,531,76140.0
Candeias do Jamari,Rondônia,1100809,2541,452658.0
Castanheiras,Rondônia,1100908,177,32352.0
Cerejeiras,Rondônia,1100056,634,98866.0
Chupinguaia,Rondônia,1100924,390,85414.0
Colorado do Oeste,Rondônia,1100064,329,51411.0
Corumbiara,Rondônia,1100072,377,55790.0
Costa Marques,Rondônia,1100080,1502,284087.0
Cujubim,Rondônia,1100940,994,142793.0
Espigão D'Oeste,Rondônia,1100098,1321,239652.0
Governador Jorge Teixeira,Rondônia,1101005,756,116401.0
Guajará-Mirim,Rondônia,1100106,2721,534240.0
Itapuã do Oeste,Rondônia,1101104,509,85055.0
Jaru,Rondônia,1100114,1899,240437.0
Ji-Paraná,Rondônia,1100122,2143,298485.0
Machadinho D'Oeste,Rondônia,1100130,1738,229584.0
Ministro Andreazza,Rondônia,1101203,433,66190.0
Mirante da Serra,Rondônia,1101302,717,118815.0
Monte Negro,Rondônia,1101401,558,87034.0
Nova Brasilândia D'Oeste,Rondônia,1100148,1312,187519.0
Nova Mamoré,Rondônia,1100338,1155,194707.0
Nova União,Rondônia,1101435,333,44131.0
Novo Horizonte do Oeste,Rondônia,1100502,596,71215.0
Ouro Preto do Oeste,Rondônia,1100155,922,144607.0
Parecis,Rondônia,1101450,236,35290.0
Pimenta Bueno,Rondônia,1100189,761,132769.0
Pimenteiras do Oeste,Rondônia,1101468,152,29942.0
Porto Velho,Rondônia,1100205,20876,3616870.0
Presidente Médici,Rondônia,1100254,1435,238356.0
Primavera de Rondônia,Rondônia,1101476,158,27542.0
Rio Crespo,Rondônia,1100262,156,30142.0
Rolim de Moura,Rondônia,1100288,1305,181240.0
Santa Luzia D'Oeste,Rondônia,1100296,390,61338.0
São Felipe D'Oeste,Rondônia,1101484,124,16094.0
São Francisco do Guaporé,Rondônia,1101492,894,127158.0
